Gen,Resource,Stamp,TimeStamp_Start,TimeStamp_End,Duration,Indiv_id
0,1,FirstEvaluation,80908768842833,80909192960500,424117667,-1
0,1,STEP,80909193228583,80909206219833,12991250,-1
1,1,STEP,80909206332125,80909214044625,7712500,-1
2,1,STEP,80909214132416,80909219684500,5552084,-1
3,1,STEP,80909219779125,80909224708000,4928875,-1
4,1,STEP,80909224793125,80909228636875,3843750,-1
5,1,STEP,80909228718333,80909232680333,3962000,-1
6,1,STEP,80909232767208,80909236595500,3828292,-1
7,1,STEP,80909236678041,80909240418375,3740334,-1
8,1,STEP,80909240529958,80909244540041,4010083,-1
9,1,STEP,80909244620458,80909248418166,3797708,-1
10,1,STEP,80909248502541,80909252449000,3946459,-1
11,1,STEP,80909252530541,80909256458833,3928292,-1
12,1,STEP,80909256539708,80909259824541,3284833,-1
13,1,STEP,80909259909208,80909263682500,3773292,-1
14,1,STEP,80909263769416,80909267593208,3823792,-1
15,1,STEP,80909267678500,80909271411750,3733250,-1
16,1,STEP,80909271502125,80909275298125,3796000,-1
17,1,STEP,80909275390750,80909279280458,3889708,-1
18,1,STEP,80909279400416,80909282560416,3160000,-1
19,1,STEP,80909282641583,80909286069041,3427458,-1
20,1,STEP,80909286147291,80909289768625,3621334,-1
21,1,STEP,80909289849750,80909292864583,3014833,-1
22,1,STEP,80909292948916,80909296207291,3258375,-1
23,1,STEP,80909296295791,80909299753333,3457542,-1
24,1,STEP,80909299845791,80909303438750,3592959,-1
25,1,STEP,80909303523416,80909306759583,3236167,-1
26,1,STEP,80909306839583,80909310103291,3263708,-1
27,1,STEP,80909310182875,80909313712750,3529875,-1
28,1,STEP,80909313799583,80909316672083,2872500,-1
29,1,STEP,80909316751000,80909319964708,3213708,-1
30,1,STEP,80909320044625,80909323068125,3023500,-1
31,1,STEP,80909323175208,80909326783375,3608167,-1
32,1,STEP,80909326865500,80909330082916,3217416,-1
33,1,STEP,80909330160500,80909333286541,3126041,-1
34,1,STEP,80909333384458,80909336692541,3308083,-1
35,1,STEP,80909336772083,80909340035416,3263333,-1
36,1,STEP,80909340114875,80909342985583,2870708,-1
37,1,STEP,80909343064000,80909345983958,2919958,-1
38,1,STEP,80909346077708,80909349493083,3415375,-1
39,1,STEP,80909349586791,80909352997041,3410250,-1
40,1,STEP,80909353080500,80909356133166,3052666,-1
41,1,STEP,80909356217916,80909359067500,2849584,-1
42,1,STEP,80909359151500,80909361886916,2735416,-1
43,1,STEP,80909361963666,80909364914291,2950625,-1
44,1,STEP,80909364994166,80909368275208,3281042,-1
45,1,STEP,80909368372083,80909371301041,2928958,-1
46,1,STEP,80909371384000,80909374302791,2918791,-1
47,1,STEP,80909374385666,80909377450708,3065042,-1
48,1,STEP,80909377542541,80909380633541,3091000,-1
49,1,STEP,80909380719000,80909384120000,3401000,-1
50,1,STEP,80909384202458,80909387834125,3631667,-1
51,1,STEP,80909387915125,80909391010375,3095250,-1
52,1,STEP,80909391087791,80909395106750,4018959,-1
53,1,STEP,80909395198708,80909398109791,2911083,-1
54,1,STEP,80909398187791,80909400875750,2687959,-1
55,1,STEP,80909400952916,80909403572125,2619209,-1
56,1,STEP,80909403649791,80909406111333,2461542,-1
57,1,STEP,80909406189250,80909409383541,3194291,-1
58,1,STEP,80909409463166,80909412711166,3248000,-1
59,1,STEP,80909412813958,80909416179083,3365125,-1
60,1,STEP,80909416263083,80909419856666,3593583,-1
61,1,STEP,80909419949833,80909423141041,3191208,-1
62,1,STEP,80909423229458,80909426106958,2877500,-1
63,1,STEP,80909426183666,80909429423833,3240167,-1
64,1,STEP,80909429505041,80909432843208,3338167,-1
65,1,STEP,80909432937583,80909436748916,3811333,-1
66,1,STEP,80909436831625,80909440152000,3320375,-1
67,1,STEP,80909440231958,80909443921875,3689917,-1
68,1,STEP,80909444022500,80909447096958,3074458,-1
69,1,STEP,80909447183625,80909450514583,3330958,-1
70,1,STEP,80909450603125,80909453452958,2849833,-1
71,1,STEP,80909453546666,80909456567500,3020834,-1
72,1,STEP,80909456651250,80909459591333,2940083,-1
73,1,STEP,80909459674291,80909463368541,3694250,-1
74,1,STEP,80909463457666,80909466429458,2971792,-1
75,1,STEP,80909466514291,80909469238833,2724542,-1
76,1,STEP,80909469315958,80909472277666,2961708,-1
77,1,STEP,80909472355125,80909476331958,3976833,-1
78,1,STEP,80909476463916,80909479810791,3346875,-1
79,1,STEP,80909479891041,80909483580083,3689042,-1
80,1,STEP,80909483658541,80909486635208,2976667,-1
81,1,STEP,80909486735166,80909490391750,3656584,-1
82,1,STEP,80909490474291,80909493495250,3020959,-1
83,1,STEP,80909493573625,80909497012333,3438708,-1
84,1,STEP,80909497097625,80909500448041,3350416,-1
85,1,STEP,80909500538333,80909503613750,3075417,-1
86,1,STEP,80909503692458,80909507242666,3550208,-1
87,1,STEP,80909507323333,80909510563666,3240333,-1
88,1,STEP,80909510646250,80909513728875,3082625,-1
89,1,STEP,80909513812000,80909517074250,3262250,-1
90,1,STEP,80909517155166,80909520981666,3826500,-1
91,1,STEP,80909521068208,80909524436750,3368542,-1
92,1,STEP,80909524515958,80909527354041,2838083,-1
93,1,STEP,80909527490791,80909531103083,3612292,-1
94,1,STEP,80909531188916,80909533950375,2761459,-1
95,1,STEP,80909534027666,80909537018958,2991292,-1
96,1,STEP,80909537097208,80909540237041,3139833,-1
97,1,STEP,80909540326166,80909543369875,3043709,-1
98,1,STEP,80909543462750,80909547411916,3949166,-1
99,1,STEP,80909547511291,80909550687166,3175875,-1
100,1,STEP,80909550766708,80909553660541,2893833,-1
101,1,STEP,80909553736791,80909556874375,3137584,-1
102,1,STEP,80909556951291,80909559649583,2698292,-1
103,1,STEP,80909559726625,80909562535875,2809250,-1
104,1,STEP,80909562612583,80909565430166,2817583,-1
105,1,STEP,80909565508791,80909568987625,3478834,-1
106,1,STEP,80909569099166,80909572151750,3052584,-1
107,1,STEP,80909572232833,80909575664375,3431542,-1
108,1,STEP,80909575745208,80909579063708,3318500,-1
109,1,STEP,80909579152041,80909581632125,2480084,-1
110,1,STEP,80909581705958,80909584852083,3146125,-1
111,1,STEP,80909584929416,80909588424041,3494625,-1
112,1,STEP,80909588501958,80909591523708,3021750,-1
