Gen,Resource,Stamp,TimeStamp_Start,TimeStamp_End,Duration,Indiv_id
0,1,FirstEvaluation,1105959098668,1106766255149,807156481,-1
0,1,STEP,1106766491747,1106772412104,5920357,-1
1,1,STEP,1106772512903,1106777010170,4497267,-1
2,1,STEP,1106777098169,1106782035133,4936964,-1
3,1,STEP,1106782125733,1106786315302,4189569,-1
4,1,STEP,1106786402601,1106789793276,3390675,-1
5,1,STEP,1106789888776,1106794455442,4566666,-1
6,1,STEP,1106794542242,1106798885310,4343068,-1
7,1,STEP,1106798975009,1106803211678,4236669,-1
8,1,STEP,1106803299877,1106806818751,3518874,-1
9,1,STEP,1106806906351,1106811750115,4843764,-1
10,1,STEP,1106811840215,1106815389789,3549574,-1
11,1,STEP,1106815475488,1106820307553,4832065,-1
12,1,STEP,1106820402052,1106825305916,4903864,-1
13,1,STEP,1106825394615,1106829560185,4165570,-1
14,1,STEP,1106829650284,1106833794754,4144470,-1
15,1,STEP,1106833899153,1106837112829,3213676,-1
16,1,STEP,1106837206829,1106841255699,4048870,-1
17,1,STEP,1106841347598,1106845430968,4083370,-1
18,1,STEP,1106845517368,1106849046442,3529074,-1
19,1,STEP,1106849132141,1106852203019,3070878,-1
20,1,STEP,1106852290918,1106856459787,4168869,-1
21,1,STEP,1106856550287,1106860075561,3525274,-1
22,1,STEP,1106860164060,1106863168238,3004178,-1
23,1,STEP,1106863254538,1106867140109,3885571,-1
24,1,STEP,1106867229409,1106871418278,4188869,-1
25,1,STEP,1106871506877,1106875623947,4117070,-1
26,1,STEP,1106875712846,1106879890116,4177270,-1
27,1,STEP,1106879984215,1106884095585,4111370,-1
28,1,STEP,1106884192284,1106887804658,3612374,-1
29,1,STEP,1106887897157,1106892552723,4655566,-1
30,1,STEP,1106892653422,1106896289995,3636573,-1
31,1,STEP,1106896382295,1106900036968,3654673,-1
32,1,STEP,1106900136767,1106903980539,3843772,-1
33,1,STEP,1106904066038,1106907705912,3639874,-1
34,1,STEP,1106907796211,1106911542884,3746673,-1
35,1,STEP,1106911632683,1106914836059,3203376,-1
36,1,STEP,1106914926559,1106918392433,3465874,-1
37,1,STEP,1106918481233,1106921564410,3083177,-1
38,1,STEP,1106921651209,1106924451089,2799880,-1
39,1,STEP,1106924540088,1106927577266,3037178,-1
40,1,STEP,1106927677665,1106930988441,3310776,-1
41,1,STEP,1106931078340,1106934526315,3447975,-1
42,1,STEP,1106934617714,1106938431286,3813572,-1
43,1,STEP,1106938526486,1106941590863,3064377,-1
44,1,STEP,1106941678663,1106944780940,3102277,-1
45,1,STEP,1106944869539,1106948307614,3438075,-1
46,1,STEP,1106948400813,1106951392691,2991878,-1
47,1,STEP,1106951480691,1106954478069,2997378,-1
48,1,STEP,1106954566668,1106958199641,3632973,-1
49,1,STEP,1106958314741,1106961505717,3190976,-1
50,1,STEP,1106961636016,1106965505288,3869272,-1
51,1,STEP,1106965590987,1106969286160,3695173,-1
52,1,STEP,1106969425259,1106973300431,3875172,-1
53,1,STEP,1106973378430,1106976504707,3126277,-1
54,1,STEP,1106976578307,1106980006782,3428475,-1
55,1,STEP,1106980078981,1106983558855,3479874,-1
56,1,STEP,1106983631355,1106986959331,3327976,-1
57,1,STEP,1106987031830,1106989774010,2742180,-1
58,1,STEP,1106989843309,1106992360391,2517082,-1
59,1,STEP,1106992429490,1106994954272,2524782,-1
60,1,STEP,1106995025471,1106997726052,2700581,-1
61,1,STEP,1106997794251,1107001071227,3276976,-1
62,1,STEP,1107001143127,1107004236804,3093677,-1
63,1,STEP,1107004350903,1107007554880,3203977,-1
64,1,STEP,1107007626179,1107011258952,3632773,-1
65,1,STEP,1107011329852,1107014929225,3599373,-1
66,1,STEP,1107015002325,1107017376408,2374083,-1
67,1,STEP,1107017446307,1107020583184,3136877,-1
68,1,STEP,1107020655783,1107023665261,3009478,-1
