Gen,Resource,Stamp,TimeStamp_Start,TimeStamp_End,Duration,Indiv_id
0,1,FirstEvaluation,527173690471833,527174072771375,382299542,-1
0,1,STEP,527174072972708,527174076861250,3888542,-1
1,1,STEP,527174076962875,527174079296250,2333375,-1
2,1,STEP,527174079391041,527174081675833,2284792,-1
3,1,STEP,527174081784500,527174083383458,1598958,-1
4,1,STEP,527174083481208,527174084909541,1428333,-1
5,1,STEP,527174085013541,527174086407000,1393459,-1
6,1,STEP,527174086504083,527174088068541,1564458,-1
7,1,STEP,527174088171750,527174089636875,1465125,-1
8,1,STEP,527174089742416,527174091603291,1860875,-1
9,1,STEP,527174091710750,527174093924041,2213291,-1
10,1,STEP,527174094025666,527174096097166,2071500,-1
11,1,STEP,527174096199791,527174097997583,1797792,-1
12,1,STEP,527174098087666,527174099965083,1877417,-1
13,1,STEP,527174100066625,527174102182083,2115458,-1
14,1,STEP,527174102293625,527174104108000,1814375,-1
15,1,STEP,527174104210583,527174105525666,1315083,-1
16,1,STEP,527174105625916,527174107019333,1393417,-1
17,1,STEP,527174107116875,527174108798541,1681666,-1
18,1,STEP,527174108892750,527174111298125,2405375,-1
19,1,STEP,527174111407125,527174113440791,2033666,-1
20,1,STEP,527174113542333,527174115145791,1603458,-1
21,1,STEP,527174115254916,527174117101666,1846750,-1
22,1,STEP,527174117201791,527174118962333,1760542,-1
23,1,STEP,527174119052666,527174120867500,1814834,-1
24,1,STEP,527174120965166,527174122627250,1662084,-1
25,1,STEP,527174122730166,527174124459750,1729584,-1
26,1,STEP,527174124556291,527174126555083,1998792,-1
27,1,STEP,527174126664083,527174128506083,1842000,-1
28,1,STEP,527174128604333,527174130490208,1885875,-1
29,1,STEP,527174130589041,527174133507000,2917959,-1
30,1,STEP,527174133614541,527174137039500,3424959,-1
31,1,STEP,527174137144125,527174139933541,2789416,-1
32,1,STEP,527174140026250,527174143519333,3493083,-1
33,1,STEP,527174143616750,527174147244916,3628166,-1
34,1,STEP,527174147365750,527174149520583,2154833,-1
35,1,STEP,527174149628083,527174151625625,1997542,-1
36,1,STEP,527174151730125,527174153195125,1465000,-1
37,1,STEP,527174153372833,527174155389958,2017125,-1
38,1,STEP,527174155527291,527174156742375,1215084,-1
39,1,STEP,527174156841416,527174158213750,1372334,-1
40,1,STEP,527174158311875,527174160092666,1780791,-1
41,1,STEP,527174160191333,527174161525791,1334458,-1
42,1,STEP,527174161627416,527174163551708,1924292,-1
43,1,STEP,527174163668750,527174165152750,1484000,-1
44,1,STEP,527174165255458,527174166674875,1419417,-1
45,1,STEP,527174166766416,527174168053875,1287459,-1
46,1,STEP,527174168160250,527174169526041,1365791,-1
47,1,STEP,527174169641083,527174171464791,1823708,-1
48,1,STEP,527174171561250,527174173213750,1652500,-1
49,1,STEP,527174173322708,527174175256583,1933875,-1
50,1,STEP,527174175367750,527174177855291,2487541,-1
51,1,STEP,527174177957083,527174180438333,2481250,-1
52,1,STEP,527174180549833,527174182405666,1855833,-1
53,1,STEP,527174182510416,527174184068041,1557625,-1
54,1,STEP,527174184165000,527174185511625,1346625,-1
55,1,STEP,527174185599250,527174186866500,1267250,-1
56,1,STEP,527174186958166,527174188275291,1317125,-1
57,1,STEP,527174188365500,527174189759708,1394208,-1
58,1,STEP,527174189850000,527174191203375,1353375,-1
59,1,STEP,527174191296958,527174193671708,2374750,-1
60,1,STEP,527174193788791,527174195360541,1571750,-1
61,1,STEP,527174195485666,527174196737416,1251750,-1
62,1,STEP,527174196846000,527174198005000,1159000,-1
63,1,STEP,527174198105833,527174199410000,1304167,-1
64,1,STEP,527174199510041,527174200963291,1453250,-1
65,1,STEP,527174201063250,527174202694083,1630833,-1
66,1,STEP,527174202787625,527174204364958,1577333,-1
67,1,STEP,527174204469833,527174206059291,1589458,-1
68,1,STEP,527174206165000,527174207757750,1592750,-1
69,1,STEP,527174207860500,527174209801333,1940833,-1
70,1,STEP,527174209900375,527174211311750,1411375,-1
71,1,STEP,527174211407958,527174212653375,1245417,-1
72,1,STEP,527174212748666,527174214157625,1408959,-1
73,1,STEP,527174214257625,527174216008208,1750583,-1
74,1,STEP,527174216114500,527174217543833,1429333,-1
75,1,STEP,527174217657750,527174219122458,1464708,-1
76,1,STEP,527174219226625,527174220922958,1696333,-1
77,1,STEP,527174221020083,527174222387166,1367083,-1
78,1,STEP,527174222474750,527174223867541,1392791,-1
79,1,STEP,527174223958208,527174225423541,1465333,-1
